Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Trade_Types,Rank
3976088733682659585,0.007954008292253404,5901.15009982,2.2339385889474115,-inf,0.43567874911158494,1226,2814,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT, BUY_BOTH, SELL_BOTH",64.5
3953764659057081857,0.007209621566667567,6048.86608919,1.9689302132562294,-2.571838906814645e+61,0.30874785591766724,180,583,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",80.5
3943533600390906881,0.02110591759872709,2361.4245720499994,6.795546663117397,0.0,0.5480386583285958,964,1759,"BUY_BOTH, SELL_BOTH",39.5
3907081197088384000,0.02191468558057475,18015.997370259996,3.535717907312104,0.0,0.6139714769156394,2540,4137,"SELL_BOTH, BUY_BOTH",25.25
3886752488982104320,0.01803822465204671,7195.178324640001,3.5195940914992825,-inf,0.745396317053643,931,1249,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",31.0
4031673021422897664,0.009831945125522415,1984.7171999900002,4.263030164650343,-4.757535855498793e+29,0.314410480349345,72,229,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",80.75
4037717032428033792,0.04901452031220193,1897.3229995000002,3.5259018817906127,0.0,0.3217665615141956,102,317,"BUY_BOTH, SELL_BOTH",71.0
3975392755164484097,0.0030874971949744526,2330.27031414,1.5113350888866264,-inf,0.2799343903772553,512,1829,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",111.0
3949214983441029120,0.006637819663257494,1317.5775589599998,0.9329385069579633,-inf,0.369757174392936,1675,4530,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",108.75
3935808725185052672,0.002358901645072294,2301.9641228599994,1.0041239595523224,-inf,0.3510204081632653,602,1715,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",110.5
4040382575336130560,0.0,0.0,0.0,0.0,0.0,0,76,BUY_BOTH,143.75
3999240873283311617,0.010932908380976328,42574.473678790004,3.6115352191088013,-81.58338206,0.5232198142414861,2366,4522,"BUY_BOTH, SELL_BOTH",36.75
3880920727367689984,-0.0021787789221082506,-176.82699999000002,-0.6131966287817812,-8.456391136891479e+31,0.33793103448275863,49,145,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",132.0
3956048468100538880,0.02691627584796936,1373.56489,8.331924047772754,0.0,0.7142857142857143,20,28,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",41.0
4038768306117031680,0.03362636156258727,1741.9142598800001,2.1434974423060567,0.0,0.22,22,100,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",90.0
